Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests per 1M pop,Population,Continent
French Guiana,"97,526",412,"11,254","85,860",3,"3,10,425","1,311","6,51,257","20,72,951","3,14,169",South America
DRC,"94,970","1,461","83,974","9,535",,997,15,"8,46,704","8,890","9,52,40,792",Africa
Senegal,"88,896","1,968","86,906",22,,"5,036",111,"11,46,543","64,946","1,76,53,671",Africa
Malawi,"88,220","2,685","85,065",470,67,"4,371",133,"6,24,784","30,959","2,01,80,839",Africa
Ivory Coast,"87,916",830,"87,073",13,,"3,169",30,"16,60,150","59,842","2,77,42,298",Africa
Suriname,"81,581","1,393",N/A,N/A,,"1,36,690","2,334","2,39,603","4,01,459","5,96,831",South America
New Caledonia,"79,026",314,"77,483","1,229",9,"2,71,646","1,079","98,964","3,40,182","2,90,915",Australia/Oceania
French Polynesia,"77,772",649,N/A,N/A,7,"2,73,687","2,284",,,"2,84,164",Australia/Oceania
Eswatini,"73,992","1,422","72,513",57,,"62,450","1,200","10,47,886","8,84,429","11,84,817",Africa
Guyana,"71,757","1,285","70,251",221,,"90,369","1,618","7,07,973","8,91,603","7,94,045",South America
Belize,"69,675",688,"68,755",232,6,"1,69,036","1,669","5,76,016","13,97,453","4,12,190",North America
Fiji,"68,451",878,"66,524","1,049",,"75,265",965,"6,66,164","7,32,478","9,09,466",Australia/Oceania
Madagascar,"67,684","1,415","66,069",200,,"2,320",48,"5,21,617","17,877","2,91,78,077",Africa
Sudan,"63,677","4,992","58,155",530,,"1,385",109,"5,62,941","12,240","4,59,92,020",Africa
Mauritania,"63,425",997,"62,423",5,,"12,939",203,"10,09,957","2,06,030","49,01,981",Africa
Cabo Verde,"63,178",412,"62,683",83,23,"1,11,292",726,"4,01,622","7,07,482","5,67,678",Africa
Bhutan,"62,524",21,"61,564",939,,"79,351",27,"23,03,734","29,23,739","7,87,941",Asia
Syria,"57,423","3,163","54,260",0,,"2,965",163,"1,46,269","7,553","1,93,64,809",Asia
Burundi,"51,018",38,"50,638",342,,"4,041",3,"3,45,742","27,386","1,26,24,840",Africa
Seychelles,"50,355",172,"50,026",157,,"5,06,457","1,730",,,"99,426",Africa
Gabon,"48,973",306,"48,617",50,,"21,005",131,"16,21,130","6,95,306","23,31,533",Africa
Andorra,"47,686",165,"47,188",333,14,"6,15,597","2,130","2,49,838","32,25,256","77,463",Europe
Papua New Guinea,"46,557",669,"43,982","1,906",7,"5,010",72,"2,49,149","26,813","92,92,169",Australia/Oceania
Curaçao,"45,986",295,"44,720",971,3,"2,77,812","1,782","4,96,693","30,00,640","1,65,529",North America
Aruba,"43,693",236,"42,438","1,019",2,"4,06,035","2,193","1,77,885","16,53,068","1,07,609",North America
Tanzania,"42,111",845,N/A,N/A,7,665,13,,,"6,32,98,550",Africa
Mayotte,"41,921",187,N/A,N/A,,"1,46,444",653,"1,76,919","6,18,038","2,86,259",Africa
Mauritius,"41,363","1,037","39,612",714,,"32,449",814,"3,58,675","2,81,374","12,74,727",Africa
Togo,"39,339",290,"39,045",4,,"4,532",33,"8,03,470","92,557","86,80,837",Africa
Guinea,"38,191",465,"37,265",461,8,"2,754",34,"6,60,107","47,607","1,38,65,691",Africa
Isle of Man,"38,008",116,N/A,N/A,,"4,43,335","1,353","1,50,753","17,58,422","85,732",Europe
Bahamas,"37,491",833,"36,366",292,1,"93,607","2,080","2,57,839","6,43,767","4,00,516",North America
Faeroe Islands,"34,658",28,N/A,N/A,5,"7,03,959",569,"7,78,000","1,58,02,409","49,233",Europe
Lesotho,"34,490",706,"25,980","7,804",,"15,852",324,"4,31,221","1,98,199","21,75,699",Africa
Haiti,"33,876",860,"32,934",82,,"2,900",74,"1,32,422","11,337","1,16,80,283",North America
Mali,"32,767",743,"31,944",80,,"1,526",35,"7,80,661","36,354","2,14,73,764",Africa
Cayman Islands,"31,359",36,"8,553","22,770",1,"4,66,118",535,"2,22,773","33,11,280","67,277",North America
Saint Lucia,"29,550",404,"29,095",51,,"1,59,632","2,182","2,10,983","11,39,752","1,85,113",North America
Benin,"27,982",163,"27,817",2,5,"2,189",13,"6,04,310","47,268","1,27,84,726",Africa
Somalia,"27,300","1,361","13,182","12,757",,"1,621",81,"4,00,466","23,778","1,68,41,795",Africa
Congo,"25,375",386,"24,006",983,,"4,377",67,"3,47,815","59,991","57,97,805",Africa
Solomon Islands,"24,575",153,N/A,N/A,1,"34,077",212,,,"7,21,159",Australia/Oceania
Timor-Leste,"23,385",138,"23,102",145,,"17,076",101,"2,78,529","2,03,391","13,69,429",Asia
San Marino,"22,813",120,"22,490",203,4,"6,69,297","3,521","1,57,634","46,24,732","34,085",Europe
Micronesia,"22,203",55,N/A,N/A,1,"1,88,979",468,"21,923","1,86,596","1,17,489",Australia/Oceania
Burkina Faso,"22,006",395,"21,596",15,,996,18,"2,48,995","11,265","2,21,02,838",Africa
Liechtenstein,"21,209",88,"21,040",81,1,"5,52,505","2,292","1,12,457","29,29,559","38,387",Europe
Gibraltar,"20,252",110,"16,579","3,563",,"6,00,878","3,264","5,34,283","1,58,52,213","33,704",Europe
Grenada,"19,613",237,"19,358",18,4,"1,72,840","2,089","1,82,981","16,12,523","1,13,475",North America
Bermuda,"18,557",152,"18,380",25,,"2,99,601","2,454","10,20,909","1,64,82,491","61,939",North America
Nicaragua,"18,491",225,"4,225","14,041",,"2,728",33,,,"67,79,100",North America
South Sudan,"18,368",138,"18,115",115,1,"1,581",12,"4,10,280","35,313","1,16,18,511",Africa
Tajikistan,"17,786",125,"17,264",397,,"1,786",13,,,"99,57,464",Asia
Equatorial Guinea,"17,186",183,"16,880",123,5,"11,483",122,"3,65,697","2,44,342","14,96,662",Africa
Tonga,"16,182",12,"15,638",532,,"1,50,182",111,"5,35,009","49,65,327","1,07,749",Australia/Oceania
Samoa,"15,975",29,"1,605","14,341",4,"78,991",143,"1,87,397","9,26,612","2,02,239",Australia/Oceania
Monaco,"15,866",63,"15,720",83,4,"3,98,814","1,584","78,646","19,76,875","39,783",Europe
Dominica,"15,760",74,"15,673",13,,"2,17,848","1,023","2,29,344","31,70,187","72,344",North America
Djibouti,"15,690",189,"15,427",74,,"15,441",186,"3,05,941","3,01,094","10,16,097",Africa
Marshall Islands,"15,547",17,"15,390",140,22,"2,58,871",283,,,"60,057",Australia/Oceania
CAR,"15,311",113,"14,615",583,2,"3,052",23,"81,294","16,205","50,16,678",Africa
Gambia,"12,586",372,"12,189",25,,"4,919",145,"1,55,686","60,851","25,58,482",Africa
Saint Martin,"12,104",63,"1,399","10,642",7,"3,04,656","1,586","1,12,382","28,28,643","39,730",North America
Vanuatu,"11,982",14,"11,952",16,,"37,231",44,"24,976","77,606","3,21,832",Australia/Oceania
Greenland,"11,971",21,"2,761","9,189",4,"2,10,117",369,"1,64,926","28,94,810","56,973",North America
Yemen,"11,945","2,159","9,124",662,23,383,69,"3,29,592","10,579","3,11,54,867",Asia
Caribbean Netherlands,"11,540",36,"10,476","1,028",,"4,33,069","1,351","30,126","11,30,559","26,647",North America
Sint Maarten,"10,964",89,"10,873",2,,"2,49,375","2,024","62,056","14,11,454","43,966",North America
Eritrea,"10,189",103,"10,086",0,,"2,782",28,"23,693","6,470","36,62,244",Africa
Niger,"9,931",312,"8,890",729,1,381,12,"2,54,538","9,759","2,60,83,660",Africa
St. Vincent Grenadines,"9,521",118,"9,367",36,,"85,351","1,058","1,12,923","10,12,299","1,11,551",North America
Antigua and Barbuda,"9,106",146,"8,954",6,1,"91,509","1,467","18,901","1,89,943","99,509",North America
Comoros,"8,979",161,"8,812",6,,"9,895",177,,,"9,07,419",Africa
Guinea-Bissau,"8,848",176,"8,642",30,6,"4,288",85,"1,45,231","70,385","20,63,367",Africa
Liberia,"8,043",294,"7,741",8,2,"1,516",55,"1,39,824","26,356","53,05,117",Africa
Sierra Leone,"7,760",126,N/A,N/A,,934,15,"2,59,958","31,296","83,06,436",Africa
Chad,"7,649",194,"4,874","2,581",,439,11,"1,91,341","10,988","1,74,13,580",Africa
British Virgin Islands,"7,305",64,N/A,N/A,,"2,38,757","2,092","1,07,339","35,08,269","30,596",North America
Saint Kitts and Nevis,"6,560",46,"6,513",1,,"1,21,772",854,"1,26,817","23,54,087","53,871",North America
Turks and Caicos,"6,463",36,"6,395",32,4,"1,62,628",906,"5,50,265","1,38,46,280","39,741",North America
Cook Islands,"6,389",1,"6,384",4,,"3,63,610",57,"19,690","11,20,596","17,571",Australia/Oceania
Sao Tome and Principe,"6,279",77,"6,202",0,,"27,578",338,"29,036","1,27,530","2,27,679",Africa
Palau,"5,955",9,"5,765",181,1,"3,26,606",494,"68,200","37,40,471","18,233",Australia/Oceania
St. Barth,"5,382",6,N/A,N/A,,"5,41,176",603,"78,646","79,08,095","9,945",North America
Nauru,"4,621",1,"4,609",11,,"4,23,828",92,"20,509","18,81,042","10,903",Australia/Oceania
Anguilla,"3,904",12,"3,879",13,4,"2,56,336",788,"51,382","33,73,736","15,230",North America
Kiribati,"3,430",13,"2,703",714,3,"27,792",105,,,"1,23,419",Australia/Oceania
Saint Pierre Miquelon,"3,306",2,"2,449",855,1,"5,74,058",347,"25,300","43,93,124","5,759",North America
Tuvalu,"2,805",,,"2,805",,"2,32,471",,,,"12,066",Australia/Oceania
Falkland Islands,"1,930",,"1,930",0,,"5,45,352",,"8,632","24,39,107","3,539",South America
Saint Helena,"1,806",,2,"1,804",,"2,95,339",,,,"6,115",Africa
Macao,"1,427",11,854,562,,"2,138",16,"7,850","11,760","6,67,490",Asia
Montserrat,"1,403",8,"1,376",19,,"2,82,578","1,611","17,762","35,77,442","4,965",North America
Wallis and Futuna,761,7,438,316,,"69,295",637,"20,508","18,67,419","10,982",Australia/Oceania
Niue,314,,207,107,,"1,93,588",,,,"1,622",Australia/Oceania
Vatican City,29,,29,0,,"36,295",,,,799,Europe
Western Sahara,10,1,9,0,,16,2,,,"6,26,161",Africa
